Test ID	Coverage Technique	Covers (Decision/Condition)	SRS Reference	Priority	Given (Precondition / Mock Setup)	When (Input / Act)	Then (Expected Output / Assert)	Negative?	Status	Defect ID	Notes
UT-US04-11	Decision Coverage	updateStore(): store không tồn tại → branch findById=empty	US-04 (ELOG-44)	P1	storeRepository.findById(99L) = Optional.empty()	storeService.updateStore(99L, StoreUpdateRequest{storeName="X", address="X X X X X"})	Ném BusinessException; HTTP 404 NOT_FOUND; ErrorCode=STORE_NOT_FOUND; storeRepository.save() không được gọi	Yes		 	ID không tồn tại trong DB
UT-US04-12	Condition Coverage	updateStore() → validateCoordinates(): latitude != null AND longitude == null → throw ngay sau findStoreOrThrow	US-04 (ELOG-44)	P1	storeRepository.findById(1L) = Optional.of(savedStore)	storeService.updateStore(1L, StoreUpdateRequest{lat=10.77, lng=null, storeName="X", address="X X X X X"})	Ném BusinessException; HTTP 400 BAD_REQUEST; ErrorCode=INVALID_COORDINATES; storeRepository.save() không được gọi	Yes		 	validateCoordinates được áp dụng cho cả updateStore, không chỉ createStore
UT-US04-13	Decision Coverage	updateStoreStatus(): isActive=false AND existsByStoreIdAndRouteIsActiveTrue=false → không bị chặn, lưu thành công	US-04 (ELOG-44)	P1	storeRepository.findById(1L) = Optional.of(savedStore); routeStopRepository.existsByStoreIdAndRouteIsActiveTrue(1L) = false; storeRepository.save(any) = savedStore; routeStopRepository.findFirstByStoreId(1L) = Optional.empty(); storeMapper.toResponse(any, any) = StoreResponse{id=1, isActive=false}	storeService.updateStoreStatus(1L, StoreStatusUpdateRequest{isActive=false})	Trả về StoreResponse với isActive=false; storeRepository.save() được gọi với store.isActive=false	No		 	Happy path — deactivate store không thuộc tuyến nào đang active
UT-US04-14	Decision Coverage	updateStoreStatus(): isActive=false AND existsByStoreIdAndRouteIsActiveTrue=true → branch throw CONFLICT	US-04 (ELOG-44)	P1	storeRepository.findById(1L) = Optional.of(savedStore); routeStopRepository.existsByStoreIdAndRouteIsActiveTrue(1L) = true; routeStopRepository.findFirstByStoreId(1L) = Optional.of(RouteStop{route=Route{code="RT-Q1"}})	storeService.updateStoreStatus(1L, StoreStatusUpdateRequest{isActive=false})	Ném BusinessException; HTTP 409 CONFLICT; storeRepository.save() không được gọi	Yes		 	Store đang là điểm dừng của tuyến đang active
UT-US04-15	Condition Coverage	updateStoreStatus(): BusinessException phải có ErrorCode=STORE_ACTIVE_ROUTE và message chứa mã tuyến "RT-Q1"	US-04 (ELOG-44)	P1	storeRepository.findById(1L) = Optional.of(savedStore); routeStopRepository.existsByStoreIdAndRouteIsActiveTrue(1L) = true; routeStopRepository.findFirstByStoreId(1L) = Optional.of(RouteStop{route=Route{code="RT-Q1"}})	storeService.updateStoreStatus(1L, StoreStatusUpdateRequest{isActive=false})	BusinessException.errorCode = STORE_ACTIVE_ROUTE; BusinessException.message contains "RT-Q1"	Yes		 	Message lỗi phải chứa mã tuyến để FE hiển thị đúng cho người dùng
UT-US04-16	Decision Coverage	updateStoreStatus(): isActive=true → bỏ qua route check, lưu thành công	US-04 (ELOG-44)	P2	storeRepository.findById(2L) = Optional.of(inactiveStore{isActive=false}); storeRepository.save(any) = inactiveStore; routeStopRepository.findFirstByStoreId(2L) = Optional.empty(); storeMapper.toResponse(any, any) = StoreResponse{id=2, isActive=true}	storeService.updateStoreStatus(2L, StoreStatusUpdateRequest{isActive=true})	Trả về StoreResponse với isActive=true; routeStopRepository.existsByStoreIdAndRouteIsActiveTrue() không được gọi	No		 	Route check chỉ chạy khi deactivate, không chạy khi reactivate
UT-US04-17	Decision Coverage	updateStoreStatus(): store không tồn tại → branch findById=empty	US-04 (ELOG-44)	P1	storeRepository.findById(99L) = Optional.empty()	storeService.updateStoreStatus(99L, StoreStatusUpdateRequest{isActive=false})	Ném BusinessException; HTTP 404 NOT_FOUND; ErrorCode=STORE_NOT_FOUND	Yes		 	ID không tồn tại trong DB
UT-US04-18	Decision Coverage	getAllStores(): filter isActive=true → Specification được build đúng, kết quả chỉ chứa store active	US-04 (ELOG-44)	P1	storeRepository.findAll(spec, pageable) = Page{[savedStore{isActive=true}]}; routeStopRepository.findFirstByStoreId(1L) = Optional.empty(); storeMapper.toListItem(savedStore, null) = StoreListItemResponse{id=1, isActive=true}	storeService.getAllStores(null, true, null, PageRequest.of(0,20))	result.data.size=1; result.data[0].isActive=true	No		 	TC-15 — filter theo trạng thái active
UT-US04-19	Decision Coverage	getAllStores(): filter hasRoute=false → store trong kết quả có assignedRoute=null	US-04 (ELOG-44)	P2	storeRepository.findAll(spec, pageable) = Page{[savedStore]}; routeStopRepository.findFirstByStoreId(1L) = Optional.empty(); storeMapper.toListItem(savedStore, null) = StoreListItemResponse{id=1, assignedRoute=null}	storeService.getAllStores(null, null, false, PageRequest.of(0,20))	result.data mỗi phần tử đều có assignedRoute=null	No		 	TC-19 — lọc store chưa gắn tuyến
UT-US04-20	Decision Coverage	getAllStores(): filter hasRoute=true → resolveAssignedRoute trả AssignedRouteDto != null với đúng mã tuyến	US-04 (ELOG-44)	P2	storeRepository.findAll(spec, pageable) = Page{[savedStore]}; routeStopRepository.findFirstByStoreId(1L) = Optional.of(RouteStop{route=Route{id=1, code="RT-Q1"}}); storeMapper.toListItem(eq(savedStore), any(AssignedRouteDto)) = StoreListItemResponse{assignedRoute={id=1, code="RT-Q1"}}	storeService.getAllStores(null, null, true, PageRequest.of(0,20))	result.data[0].assignedRoute != null; result.data[0].assignedRoute.code="RT-Q1"	No		 	TC-20 — lọc store đã gắn tuyến; dùng any(AssignedRouteDto.class) vì resolveAssignedRoute tạo instance mới nội bộ
UT-US04-21	Decision Coverage	getAllStores(): keyword="Dien May" → StoreSpecification.hasKeyword được apply, kết quả partial match đúng	US-04 (ELOG-44)	P2	storeRepository.findAll(spec, pageable) = Page{[savedStore{name="Dien May Test"}]}; routeStopRepository.findFirstByStoreId(1L) = Optional.empty(); storeMapper.toListItem(savedStore, null) = StoreListItemResponse{id=1, storeName="Dien May Test"}	storeService.getAllStores("Dien May", null, null, PageRequest.of(0,20))	result.data.size=1; result.data[0].storeName contains "Dien May"	No		 	TC-21 — tìm kiếm partial match theo tên/mã store
UT-US04-22	Decision Coverage	getAllStores(): PaginationInfo được build đúng từ Page metadata (page, size, totalElements, totalPages)	US-04 (ELOG-44)	P2	storeRepository.findAll(spec, pageable) = PageImpl{content=[savedStore], pageable=PageRequest(0,3), total=5}; routeStopRepository.findFirstByStoreId(1L) = Optional.empty(); storeMapper.toListItem(savedStore, null) = StoreListItemResponse{id=1}	storeService.getAllStores(null, null, null, PageRequest.of(0,20))	result.pagination.totalElements=5; result.pagination.page=0; result.pagination.size=3	No		 	Dùng pageSize(3) < total(5) để PageImpl không tự ghi đè totalElements
