NFR ID	Category	Requirement	Condition / Context	Target Value	Test Method	Tool	Measured Result	Test Status	Owner	Sprint
NFR-U02	Usability & Explainability	Hard-constraint status and weighted-scoring factors shall be visually distinguishable.	Sprint 2	Feasibility and scoring shown in distinct labels/sections	UI visual distinction review	Cypress Component Specs, Design Token Audit	Hard constraint pass/fail shown as Red/Green Badge; Weighted score shown as 0-100 numerical progress bar	Pass	Lê Thành Linh	Sprint 2
NFR-U03	Usability & Explainability	Errors shall identify the affected object and an actionable correction without exposing internal implementation details.	Sprint 1-3	Actionable safe error for every tested negative flow	Negative-flow error payload inspection	GlobalExceptionHandler Test Suite	Error responses formatted cleanly: { "status": 400, "message": "Vehicle 29H-12345 is in MAINTENANCE status", "action": "Select available vehicle" }	Pass	Lê Thành Linh	Sprint 1-3
NFR-U04	Usability & Explainability	Units, dates, route names, vehicle identifiers, status labels, and score labels shall remain consistent across planning screens and exports.	Sprint 1-3	100% terminology and unit consistency in review checklist	UI and Export Terminology Checklist	Cypress E2E specs, Excel Export verifier	Units strictly standardized: Mass in kg, Volume in m³, Distance in km, Time in DD/MM/YYYY HH:mm	Pass	Lê Thành Linh	Sprint 1-3
NFR-U05	Usability & Explainability	The Driver App shall present ordered stops, order details, delivery sequence, LIFO guidance, current statuses, and required exception prompts.	Sprint 3	Required trip/result information visible; incomplete orders clearly identified	Driver task-based usability and status-flow tests	Cypress Mobile Viewport E2E specs	Driver App UI displays sequence numbers (Stop 1, 2, 3), LIFO unloading sequence indicator, and delivery exception prompts	Pass	Lê Thành Linh	Sprint 3
NFR-M01	Maintainability, Configurability & Testability	Source mappings, routes, restrictions, timing values, safety thresholds, cost indicators, score weights shall be configurable.	Sprint 1-3	0 code changes for supported configuration; version retained	Configuration externalization verification (application.yml & DB config table)	Spring @ConfigurationProperties assertions	Load buffer threshold (90.0%), Haversine speed constant (40km/h), scoring weights (70/30) externalized in application.yml	Pass	Phạm Tiến Phát	Sprint 1-3
NFR-M02	Maintainability, Configurability & Testability	Historical Recommendation Runs shall retain the exact rule, threshold, timing, and scoring versions used.	Sprint 2	100% historical version references retained	Reproducibility review on recommendation_log table	JUnit 5 DB Assertions	Recommendation log table stores config_version_id and exact weights used at run time	Pass	Phạm Tiến Phát	Sprint 2
NFR-M03	Maintainability, Configurability & Testability	REST interfaces shall be versioned and documented with OpenAPI or equivalent when implemented.	Sprint 1-3	Versioned interface documentation available for implemented REST endpoints	OpenAPI / Swagger documentation inspection	Springdoc-openapi v2.5.0, /v3/api-docs, /swagger-ui.html	All endpoints versioned under /api/v1/*; Swagger UI active at http://localhost:8080/swagger-ui.html	Pass	Phạm Tiến Phát	Sprint 1-3
NFR-D01	Data Quality & Governance	Only data required for planning, explanation, security, audit, simple delivery results shall be collected or retained.	Sprint 1-3	No GPS/image/signature/e-POD/actual-cost field required	Database schema audit for data minimization compliance	Flyway Migration Schema Inspection	Schema verified: stores delivery status flag, photo URL string reference, 0 raw blob/GPS trace tables required	Pass	Nguyễn Đức Minh	Sprint 1-3
NFR-D02	Data Quality & Governance	Every derived planning value shall retain its source fields, configuration version, or fallback assumption.	Sprint 1-3	100% derived planning values traceable to source/configuration/assumption	Lineage data flow assertions	JUnit 5, DB Lineage Assertions	Density Ratio (kg/m³) and ETA arrival times store source weight, volume, and Haversine distance inputs	Pass	Nguyễn Đức Minh	Sprint 1-3
NFR-D03	Data Quality & Governance	Invalid, incomplete, stale, and unvalidated records shall not be silently used as valid planning or historical inputs.	Sprint 1-3	0 invalid, stale, incomplete, or unvalidated inputs used as valid	Data-quality and state-guard tests	JUnit 5 Bean Validation (@Valid, @NotNull, @Min)	DTO inputs annotated with Jakarta Bean Validation; Invalid payloads fail at controller boundary before service entry	Pass	Nguyễn Đức Minh	Sprint 1-3
NFR-D04	Data Quality & Governance	Exports and outcome-history access shall be role restricted and audited.	Sprint 3	100% authorized and audited export/history access	Authorization and audit log verification on export endpoints	Spring Security @PreAuthorize("hasRole('MANAGER') || hasRole('ADMIN')")	Excel export endpoints restricted to Dispatcher/Manager/Admin roles; Export event logged in audit_log table	Pass	Nguyễn Xuân Nguyên Giáp	Sprint 3
