Test ID	Coverage Technique	Covers (Decision/Condition)	SRS Reference	Priority	Given (Precondition / Mock Setup)	When (Input / Act)	Then (Expected Output / Assert)	Negative?	Status	Defect ID	Notes
UT-US06-11	Decision Coverage	updateVehicleStatus(): activate vehicle thành công	US-06	P2	vehicleRepository.findById(1L)=Optional.of(vehicle{isActive=false}); vehicleRepository.save(vehicle)=vehicle{isActive=true}; vehicleMapper.toResponse(vehicle)=VehicleResponse{isActive=true}	vehicleService.updateVehicleStatus(1L, VehicleStatusUpdateRequest{isActive=true})	Trả về VehicleResponse với isActive=true; repository.save() được gọi với vehicle.isActive=true	No	Pass		Supports lifecycle/status branch
UT-US06-12	Decision Coverage	updateVehicleStatus(): deactivate vehicle thành công	US-06	P1	vehicleRepository.findById(1L)=Optional.of(vehicle{isActive=true}); vehicleRepository.save(vehicle)=vehicle{isActive=false}; vehicleMapper.toResponse(vehicle)=VehicleResponse{isActive=false}	vehicleService.updateVehicleStatus(1L, VehicleStatusUpdateRequest{isActive=false})	Trả về VehicleResponse với isActive=false; repository.save() được gọi với vehicle.isActive=false	No	Pass		Maps TC-13 partial at service level — tổng fleet sau deactivate cần xác nhận thêm bằng Integration Test
UT-US06-13	Boundary Value	create request validation: weight và volume là số thập phân hợp lệ	US-06	P1	Bean Validator; VehicleCreateRequest{plateNumber="51B-67890", vehicleType="Xe tai nho", maxWeightKg=3490.50, maxVolumeM3=16.250}	validator.validate(request)	Không có ConstraintViolation	No	Pass		Maps TC-11 — valid decimal capacity
UT-US06-14	Decision Coverage	create request validation: thiếu maxWeightKg	US-06	P1	Bean Validator; VehicleCreateRequest hợp lệ nhưng maxWeightKg=null	validator.validate(request)	Có violation property=maxWeightKg, message="FIELD_REQUIRED"	Yes	Pass		Maps TC-03 — missing maxWeightKg → controller trả HTTP 400 ở API layer
UT-US06-15	Decision Coverage	create request validation: thiếu maxVolumeM3	US-06	P1	Bean Validator; VehicleCreateRequest hợp lệ nhưng maxVolumeM3=null	validator.validate(request)	Có violation property=maxVolumeM3, message="FIELD_REQUIRED"	Yes	Pass		Maps TC-04 — missing maxVolumeM3 → controller trả HTTP 400 ở API layer
UT-US06-16	Boundary Value	create request validation: maxWeightKg = 0	US-06	P1	Bean Validator; VehicleCreateRequest hợp lệ nhưng maxWeightKg=0	validator.validate(request)	Có violation property=maxWeightKg, message="INVALID_FORMAT"	Yes	Pass		Maps TC-07 — capacity must be positive
UT-US06-17	Boundary Value	create request validation: maxWeightKg âm	US-06	P1	Bean Validator; VehicleCreateRequest hợp lệ nhưng maxWeightKg=-100.00	validator.validate(request)	Có violation property=maxWeightKg, message="INVALID_FORMAT"	Yes	Pass		Maps TC-08 — negative weight invalid
UT-US06-18	Boundary Value	create request validation: maxVolumeM3 = 0	US-06	P1	Bean Validator; VehicleCreateRequest hợp lệ nhưng maxVolumeM3=0	validator.validate(request)	Có violation property=maxVolumeM3, message="INVALID_FORMAT"	Yes	Pass		Maps TC-09 — capacity must be positive
UT-US06-19	Boundary Value	create request validation: maxVolumeM3 âm	US-06	P1	Bean Validator; VehicleCreateRequest hợp lệ nhưng maxVolumeM3=-5.500	validator.validate(request)	Có violation property=maxVolumeM3, message="INVALID_FORMAT"	Yes	Pass		Maps TC-10 — negative volume invalid
UT-US06-20	Condition Coverage	create request validation: plateNumber chỉ có dấu gạch ngang → invalid format	US-06	P2	Bean Validator; VehicleCreateRequest hợp lệ nhưng plateNumber="------"	validator.validate(request)	Có violation property=plateNumber, message="INVALID_FORMAT"	Yes	Pass		Regression cho review regex: không cho chuỗi vô nghĩa toàn dấu "-"
